,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WHL22.15960,298.23819355519,-1.90428549188231,0.353129206754092,-5.3926026379585,6.94444086777154e-08,9.02658604419398e-06
WHL22.276344,327.530796492578,-1.74736594871826,0.324369056646857,-5.38696867938497,7.16559150413588e-08,9.19997058062844e-06
WHL22.465315,634.7368476728,1.30452581820877,0.24220064899773,5.38613675730074,7.19881969420558e-08,9.19997058062844e-06
WHL22.709869,76.9177970617741,2.76962774453696,0.514551010086051,5.3826106454903,7.3413222034324e-08,9.30390233914999e-06
WHL22.34772,747.365582867948,-1.30404745315544,0.242488026004312,-5.37778081105024,7.54095421043073e-08,9.47791996960583e-06
WHL22.742190,1205.71415451893,1.42628378393075,0.265307918288647,5.37595633455235,7.61772533085132e-08,9.49593170750712e-06
WHL22.268333,181.319146485794,1.80896971290897,0.337100551171227,5.36626151047175,8.03853686255106e-08,9.93902996794117e-06
WHL22.341048,250.66277134272,1.58040123342315,0.295261200079176,5.35255303778268,8.67218725859302e-08,1.06360180507002e-05
WHL22.524745,184.923214671207,1.55533224353565,0.290801374842413,5.34843497345393,8.87180397119293e-08,1.07937915835122e-05
WHL22.440137,700.066807891763,1.55045994418404,0.290290845194282,5.34105697734412,9.24062046556658e-08,1.10654611055383e-05
WHL22.470526,261.64013600373,1.54827369547648,0.289861445104858,5.34142681485766,9.22178454849938e-08,1.10654611055383e-05
WHL22.126276,4536.97989665571,1.50909564355839,0.282843165653315,5.33545026648481,9.53077503776713e-08,1.123597106778e-05
WHL22.311985,513.111341421985,1.43412541941121,0.268736114663416,5.33655635085523,9.47284411458321e-08,1.123597106778e-05
WHL22.600469,2347.06973358124,1.40225856705668,0.263789121962836,5.3158316636508,1.06171270163852e-07,1.24204052050144e-05
WHL22.718063,1809.01673360972,1.35057631708328,0.254314180561444,5.31066067217188,1.09228537741857e-07,1.26805160456348e-05
WHL22.439202,855.288942036494,1.31687003190095,0.248220626463144,5.30524014327423,1.12524760193746e-07,1.29396960177286e-05
WHL22.77416,535.297634870839,1.56716855439107,0.295457558120857,5.30420871396365,1.13162780796811e-07,1.29396960177286e-05
