PMI_029059	Pm-Hypp_2691
PMI_027242	Pm-Cnpy4
PMI_024830	Pm-Glipr2L
PMI_020840	
PMI_020841	Pm-Btbd10
PMI_028534	
PMI_027020	PMI_027020
PMI_024838	Pm-Ebr1
PMI_027954	Pm-Gabbr1_8
PMI_026759	Pm-Astacin5
PMI_026512	Pm-Hypp_2479
PMI_022068	Pm-Fbxl20
PMI_025399	Pm-Clec16a
PMI_019650	Pm-Rbx2
PMI_019651	Pm-Nme7
PMI_028315	Pm-Cnga3_2
PMI_026881	
PMI_027705	Pm-Agrin
PMI_025692	Pm-Acss1
PMI_022532	PMI_022532
PMI_022533	Pm-Rabif
PMI_025598	Pm-Xrn1
PMI_027666	Pm-Rbm14
PMI_028549	
PMI_021846	Pm-Hypp_2611
PMI_029407	
PMI_029297	
PMI_028539	Pm-Msi1
PMI_027497	Pm-Gpr158
PMI_023648	Pm-Rfc5
PMI_026605	Pm-Egf/HyalinL14
PMI_026137	Pm-Erf3
PMI_027757	Pm-Ankdd1a
PMI_028297	
PMI_021079	Pm-Notch2_12
PMI_021080	
PMI_021081	
PMI_012551	Pm-Dna_pkcs_1
PMI_012552	Pm-Dna_pkcs_1
PMI_012553	Pm-Mrpl12-like
PMI_018286	Pm-Cycb
PMI_018287	Pm-Ccdc112
PMI_025784	Pm-Ing4
PMI_027842	Pm-Trim2
PMI_026064	Pm-Hypp_2471
PMI_015360	Pm-Tk9
PMI_028204	Pm-Oxch_3
PMI_022625	Pm-Wdr24
PMI_022626	
PMI_024912	
PMI_018900	Pm-Stpn
PMI_027798	
PMI_024665	Pm-Acad11
PMI_029033	PMI_029033
PMI_028084	Pm-Mcf2l
PMI_029006	
PMI_018585	Pm-Cul1
PMI_011255	
PMI_011256	PMI_011256
PMI_011257	Pm-Dpy19l1
PMI_027154	Pm-Srcr191
PMI_026622	Pm-Slc16a6
PMI_025083	PMI_025083
PMI_023365	Pm-Axndhc4h
PMI_023906	Pm-BetaDxlL
PMI_023907	Pm-BetaDxlL
PMI_028871	
PMI_027521	Pm-Egfi
PMI_022448	
PMI_022449	Pm-Stam
PMI_018225	PMI_018225
PMI_026138	PMI_026138
PMI_028577	
PMI_028406	
PMI_029443	Pm-01715
PMI_029571	Pm-Slc8a1
PMI_026729	Pm-Hypp_1123
PMI_021935	Pm-Z203
PMI_021936	Pm-Z203
PMI_027944	Pm-Nt5
PMI_029610	
PMI_026648	Pm-Ranbp1
PMI_028265	Pm-Ppef2
PMI_024652	Pm-Angptl1
PMI_020674	PMI_020674
PMI_028712	Pm-Ppp2r2aL
PMI_027112	Pm-C1galt1_3
PMI_028492	
PMI_027584	
PMI_026112	Pm-Alpl_1
PMI_026113	Pm-Alpl_1
PMI_027782	
PMI_024302	
PMI_024303	Pm-Axndhc8h
PMI_025948	Pm-Bpnt1
PMI_028607	Pm-Atp16
PMI_029144	
PMI_029146	Pm-Hypp_2348
PMI_016982	Pm-Nuc205
PMI_026223	Pm-Rbbp5
PMI_028234	Pm-St6galnac4
PMI_023670	Pm-Xpo1_1
PMI_026214	
PMI_020900	PMI_020900
PMI_020901	Pm-Ccdc89
PMI_028193	PMI_028193
PMI_025398	Pm-Do1(Udx1)
PMI_026404	Pm-Dna2-2
PMI_027003	Pm-PolppL_55
PMI_019593	Pm-Dnajhb12
PMI_019594	Pm-Lipf_1
PMI_027480	Pm-Plcd
PMI_017529	Pm-Clock
PMI_017530	Pm-Rfc3
PMI_027443	Pm-Dtnb
PMI_025327	Pm-Npr1_4
PMI_022798	Pm-Hnrpul1
PMI_026211	Pm-Tfip11
PMI_025805	Pm-Cog8_1
PMI_027905	Pm-Fmo5_3
PMI_019664	Pm-C10orf79
PMI_028675	Pm-Polr1a
PMI_025746	Pm-Wdr81
PMI_029484	Pm-Cyp2L34
PMI_025204	Pm-Dock3
PMI_022581	Pm-Sea/Egf
PMI_024222	Pm-Hypp_2600
PMI_021726	Pm-Mcm3apL
PMI_021727	
PMI_026616	Pm-Dym
PMI_026706	Pm-Sc4mol_2
PMI_023620	Pm-Myo18a
PMI_023621	Pm-Myo18a_3
PMI_027913	PMI_027913
PMI_026557	
PMI_026558	
PMI_019825	Pm-Trspap1
PMI_019826	Pm-C12orf48L
PMI_026498	Pm-Hypp_653
PMI_027716	Pm-Hypp_1256
PMI_022026	Pm-Hypp_224
PMI_021017	
PMI_021018	
PMI_026224	Pm-Gal/lec5
PMI_027235	Pm-FReD
PMI_028384	
PMI_028385	Pm-CcK/GLr
PMI_025732	Pm-Cyp27L_1
PMI_024742	Pm-SpnprA
PMI_021854	PMI_021854
PMI_021855	PMI_021855
PMI_026615	Pm-P3a2
PMI_026222	Pm-Egfia_1
PMI_019617	Pm-Tax1bp1
PMI_026481	Pm-Pi3kcIII_1
PMI_027334	Pm-Zfyve21L
PMI_028825	
PMI_020909	
PMI_020910	Pm-Egfi
PMI_023206	Pm-Fn3/Igf_29
PMI_026595	
PMI_028364	Pm-Ass
PMI_028833	
PMI_027170	Pm-Mrps27
PMI_029271	
PMI_028006	Pm-St6L
PMI_022886	Pm-Bhmt
PMI_027987	Pm-Polyp
PMI_027120	Pm-Ftcd_3
PMI_024758	Pm-Ptpriz
PMI_024911	Pm-Abcc4a
PMI_027730	
PMI_026419	Pm-Rbm13
PMI_026845	Pm-Nob1
PMI_023131	Pm-Ift81h
PMI_028942	
PMI_025350	Pm-HgfL
PMI_028528	Pm-Fam161aL
PMI_019045	Pm-Sec24c
PMI_021836	Pm-RorL
PMI_029617	
PMI_018564	Pm-Actinfilin
PMI_018565	
PMI_026341	Pm-Srcr101
PMI_029165	
PMI_017146	Pm-Ppwd1
PMI_017147	Pm-Acel_7
PMI_025657	Pm-Odadc3L1
PMI_027973	
PMI_026582	Pm-Fer
PMI_020702	Pm-Sea/Egf
PMI_020314	Pm-Insc
PMI_028066	PMI_028066
PMI_021125	Pm-Tfiihp44
PMI_025781	Pm-Ache_19
PMI_027164	Pm-CadL
PMI_016380	Pm-Nf1
PMI_016381	Pm-Nf1
PMI_019683	Pm-Nol6
PMI_029044	Pm-Aqp_2
PMI_025336	Pm-Slc45a2_2
PMI_026147	Pm-Hypp_1195
PMI_021056	Pm-Ankrd27
PMI_024506	Pm-Srcr152
